disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12
norovirus infection,stomach cramps,muscle aches,abdominal pain,chills,sweating,general discomfort,fever,irritability,,,,
roseola,runny nose,swollen lymph nodes,headache,red eyes,abdominal pain,feverish,,,,,,
norovirus infection,low-grade fever,muscle aches,nausea,abdominal pain,chills,sweating,body aches,general discomfort,irritability,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,nausea,headache,fatigue,dehydration,chills,sweating,fever,,
norovirus infection,diarrhea,vomiting,nausea,headache,fatigue,loss of appetite,dehydration,chills,body aches,general discomfort,fever,
roseola,runny nose,irritability,fatigue,swollen lymph nodes,headache,vomiting,loss of appetite,body aches,rashes,feverish,,
norovirus infection,vomiting,low-grade fever,muscle aches,nausea,abdominal pain,loss of appetite,chills,sweating,fever,irritability,,
roseola,high fever,fatigue,swollen lymph nodes,headache,red eyes,vomiting,loss of appetite,abdominal pain,body aches,chills,feverish,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,fatigue,abdominal pain,loss of appetite,chills,sweating,general discomfort,
norovirus infection,vomiting,low-grade fever,muscle aches,nausea,dehydration,sweating,rashes,,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,nausea,loss of appetite,chills,sweating,rashes,irritability,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,stomach cramps,headache,feverish,rashes,chills,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,bloody stools,stomach cramps,dehydration,body aches,general discomfort,chills,joint pain,,
scarlet fever,red lines in body folds,pale skin around lips,fever (100.4�f / 38.0�c or higher),sore and red throat with patches,headache and body aches,,,,,,,
"hand, foot, and mouth disease",sores in mouth,loss of appetite,sore throat,mouth sores,red spots,fatigue,sore muscles,general discomfort,,,,
roseola,high fever,runny nose,irritability,fatigue,sore throat,headache,diarrhea,vomiting,abdominal pain,body aches,rashes,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,vomiting,bloody stools,headache,fatigue,muscle aches,body aches,feverish,rashes,general discomfort,chills,joint pain
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,stomach cramps,fatigue,dehydration,loss of appetite,muscle aches,body aches,chills,,
roseola,irritability,swollen lymph nodes,headache,loss of appetite,chills,feverish,,,,,,
roseola,high fever,runny nose,fatigue,swollen lymph nodes,loss of appetite,rashes,,,,,,
shigellosis (bacillary dysentery),vomiting,bloody stools,stomach cramps,dehydration,loss of appetite,muscle aches,rashes,chills,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,headache,dehydration,loss of appetite,muscle aches,body aches,feverish,rashes,general discomfort,joint pain,
roseola,irritability,fatigue,sore throat,red eyes,diarrhea,body aches,rashes,chills,,,,
roseola,irritability,swollen lymph nodes,headache,cough,red eyes,vomiting,chills,feverish,,,,
shigellosis (bacillary dysentery),fever,bloody stools,stomach cramps,headache,fatigue,dehydration,chills,,,,,
roseola,rash,irritability,fatigue,diarrhea,,,,,,,,
shigellosis (bacillary dysentery),fever,vomiting,stomach cramps,headache,loss of appetite,feverish,rashes,joint pain,,,,
shigellosis (bacillary dysentery),vomiting,bloody stools,fatigue,dehydration,loss of appetite,general discomfort,,,,,,
pertussis (whooping cough),whooping cough,sneezing,fever,"sore, watery eyes",exhaustion,sneezing,low-grade fever,severe coughing fits,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,bloody stools,fatigue,muscle aches,feverish,rashes,,,,
roseola,rash,irritability,fatigue,sore throat,headache,cough,vomiting,abdominal pain,body aches,rashes,chills,
norovirus infection,vomiting,muscle aches,headache,dehydration,rashes,general discomfort,fever,,,,,
norovirus infection,stomach cramps,low-grade fever,nausea,dehydration,chills,sweating,rashes,general discomfort,fever,irritability,,
roseola,runny nose,rash,fatigue,headache,red eyes,diarrhea,loss of appetite,abdominal pain,body aches,chills,feverish,
norovirus infection,headache,fatigue,loss of appetite,body aches,,,,,,,,
"hand, foot, and mouth disease",sores in mouth,rash on hands and feet,loss of appetite,sore throat,red spots,blisters,cough,sore muscles,mild fever,,,
"hand, foot, and mouth disease",fever,rash on hands and feet,sore throat,mouth sores,fatigue,sore muscles,headache,mild fever,,,,
roseola,high fever,runny nose,rash,irritability,swollen lymph nodes,sore throat,cough,vomiting,body aches,chills,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,bloody stools,headache,fatigue,loss of appetite,muscle aches,body aches,rashes,,
"hand, foot, and mouth disease",fever,rash on hands and feet,loss of appetite,mouth sores,red spots,blisters,sore muscles,headache,difficulty swallowing,,,
norovirus infection,vomiting,muscle aches,nausea,abdominal pain,chills,sweating,general discomfort,fever,irritability,,,
shigellosis (bacillary dysentery),fever,stomach cramps,dehydration,feverish,general discomfort,,,,,,,
roseola,runny nose,rash,cough,red eyes,diarrhea,vomiting,loss of appetite,body aches,rashes,feverish,,
shigellosis (bacillary dysentery),vomiting,bloody stools,stomach cramps,headache,fatigue,dehydration,loss of appetite,muscle aches,feverish,general discomfort,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,bloody stools,dehydration,muscle aches,body aches,rashes,,,
norovirus infection,muscle aches,nausea,fatigue,loss of appetite,dehydration,rashes,general discomfort,irritability,,,,
shigellosis (bacillary dysentery),fever,nausea,stomach cramps,dehydration,loss of appetite,muscle aches,general discomfort,chills,joint pain,,,
norovirus infection,diarrhea,low-grade fever,muscle aches,nausea,fatigue,dehydration,sweating,rashes,irritability,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,nausea,headache,fatigue,dehydration,body aches,fever,irritability,,
shigellosis (bacillary dysentery),diarrhea,bloody stools,stomach cramps,loss of appetite,muscle aches,rashes,general discomfort,chills,joint pain,,,
roseola,high fever,runny nose,irritability,fatigue,sore throat,headache,cough,red eyes,vomiting,loss of appetite,rashes,chills,feverish
norovirus infection,stomach cramps,muscle aches,headache,abdominal pain,loss of appetite,dehydration,chills,body aches,irritability,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,bloody stools,headache,muscle aches,rashes,chills,joint pain,,,
roseola,high fever,runny nose,fatigue,swollen lymph nodes,headache,cough,red eyes,abdominal pain,body aches,rashes,chills,
norovirus infection,vomiting,stomach cramps,low-grade fever,headache,fatigue,dehydration,sweating,body aches,general discomfort,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,headache,fatigue,abdominal pain,dehydration,sweating,body aches,irritability,,
"hand, foot, and mouth disease",sores in mouth,mouth sores,red spots,general discomfort,,,,,,,,
norovirus infection,low-grade fever,headache,abdominal pain,loss of appetite,chills,sweating,general discomfort,fever,irritability,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,nausea,fatigue,dehydration,body aches,fever,irritability,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,vomiting,bloody stools,stomach cramps,fatigue,dehydration,loss of appetite,muscle aches,body aches,feverish,rashes,general discomfort
roseola,high fever,runny nose,irritability,fatigue,sore throat,cough,diarrhea,vomiting,loss of appetite,abdominal pain,chills,feverish
norovirus infection,vomiting,stomach cramps,muscle aches,nausea,headache,fatigue,dehydration,sweating,body aches,rashes,fever,irritability
norovirus infection,stomach cramps,muscle aches,nausea,abdominal pain,dehydration,chills,rashes,general discomfort,irritability,,,
shigellosis (bacillary dysentery),nausea,vomiting,bloody stools,stomach cramps,fatigue,dehydration,muscle aches,feverish,rashes,general discomfort,chills,
shigellosis (bacillary dysentery),bloody stools,headache,fatigue,loss of appetite,muscle aches,body aches,general discomfort,joint pain,,,,
norovirus infection,low-grade fever,nausea,headache,fatigue,abdominal pain,loss of appetite,chills,body aches,rashes,general discomfort,irritability,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,bloody stools,dehydration,loss of appetite,feverish,rashes,chills,,,,
norovirus infection,stomach cramps,loss of appetite,dehydration,sweating,rashes,,,,,,,
roseola,rash,sore throat,cough,vomiting,loss of appetite,abdominal pain,body aches,feverish,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,bloody stools,stomach cramps,fatigue,loss of appetite,body aches,rashes,general discomfort,joint pain,,
roseola,rash,irritability,fatigue,headache,cough,red eyes,abdominal pain,body aches,rashes,,,
roseola,high fever,irritability,fatigue,headache,cough,red eyes,diarrhea,vomiting,body aches,rashes,chills,
roseola,high fever,rash,irritability,fatigue,swollen lymph nodes,headache,cough,diarrhea,chills,feverish,,
roseola,irritability,fatigue,swollen lymph nodes,sore throat,vomiting,loss of appetite,feverish,,,,,
norovirus infection,diarrhea,low-grade fever,muscle aches,fatigue,loss of appetite,sweating,body aches,general discomfort,fever,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,vomiting,headache,dehydration,loss of appetite,muscle aches,body aches,rashes,joint pain,,,
norovirus infection,vomiting,muscle aches,fatigue,abdominal pain,loss of appetite,dehydration,sweating,body aches,rashes,fever,irritability,
norovirus infection,low-grade fever,headache,abdominal pain,loss of appetite,sweating,body aches,rashes,general discomfort,,,,
scarlet fever,fever,sore throat,red rash on the body,fever (100.4�f / 38.0�c or higher),difficulty swallowing,"tender, enlarged neck glands",abdominal pain,,,,,
fifth disease (erythema infectiosum),fatigue,sore throat,mild fever,headache,swollen joints,myalgias,,,,,,
norovirus infection,low-grade fever,muscle aches,nausea,headache,loss of appetite,sweating,rashes,general discomfort,fever,irritability,,
shigellosis (bacillary dysentery),diarrhea,headache,fatigue,dehydration,loss of appetite,body aches,rashes,joint pain,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,headache,fatigue,loss of appetite,feverish,general discomfort,,,,
roseola,rash,irritability,fatigue,sore throat,red eyes,abdominal pain,body aches,rashes,chills,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,bloody stools,headache,fatigue,dehydration,muscle aches,feverish,rashes,general discomfort,chills,joint pain
"hand, foot, and mouth disease",fever,sores in mouth,rash on hands and feet,irritability,mouth sores,blisters,cough,sore muscles,headache,difficulty swallowing,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,headache,fatigue,loss of appetite,dehydration,chills,sweating,body aches,rashes,fever
"hand, foot, and mouth disease",fever,sores in mouth,irritability,sore throat,mouth sores,blisters,sore muscles,headache,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,vomiting,stomach cramps,fatigue,dehydration,loss of appetite,feverish,joint pain,,,,
strep throat,sore throat,fever,white patches on tonsils,swollen lymph nodes,rash,,,,,,,
norovirus infection,vomiting,muscle aches,nausea,headache,fatigue,loss of appetite,dehydration,sweating,general discomfort,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,nausea,headache,fatigue,abdominal pain,sweating,body aches,rashes,
norovirus infection,vomiting,stomach cramps,low-grade fever,headache,fatigue,dehydration,chills,sweating,body aches,rashes,general discomfort,
norovirus infection,low-grade fever,headache,dehydration,chills,body aches,general discomfort,irritability,,,,,
roseola,high fever,fatigue,sore throat,headache,diarrhea,body aches,chills,,,,,
norovirus infection,diarrhea,stomach cramps,muscle aches,abdominal pain,sweating,body aches,rashes,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,bloody stools,stomach cramps,dehydration,body aches,feverish,rashes,general discomfort,joint pain
roseola,high fever,rash,irritability,fatigue,sore throat,headache,cough,diarrhea,vomiting,loss of appetite,abdominal pain,body aches
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,vomiting,bloody stools,stomach cramps,fatigue,dehydration,feverish,chills,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,dehydration,loss of appetite,muscle aches,feverish,rashes,general discomfort,chills,,,
roseola,irritability,fatigue,swollen lymph nodes,headache,red eyes,loss of appetite,abdominal pain,rashes,chills,feverish,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,stomach cramps,headache,dehydration,muscle aches,body aches,feverish,rashes,general discomfort,joint pain
roseola,high fever,swollen lymph nodes,sore throat,cough,diarrhea,vomiting,loss of appetite,body aches,chills,,,
roseola,high fever,rash,irritability,swollen lymph nodes,sore throat,headache,cough,red eyes,vomiting,loss of appetite,abdominal pain,feverish
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,stomach cramps,headache,fatigue,loss of appetite,feverish,rashes,,
roseola,runny nose,rash,headache,red eyes,diarrhea,vomiting,loss of appetite,abdominal pain,rashes,chills,,
norovirus infection,vomiting,stomach cramps,low-grade fever,headache,fatigue,body aches,rashes,general discomfort,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,stomach cramps,fatigue,body aches,feverish,rashes,general discomfort,,,
shigellosis (bacillary dysentery),fever,stomach cramps,dehydration,loss of appetite,muscle aches,body aches,feverish,rashes,general discomfort,chills,,
norovirus infection,vomiting,headache,fatigue,dehydration,chills,body aches,,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,bloody stools,headache,dehydration,loss of appetite,muscle aches,body aches,feverish,rashes,general discomfort,joint pain
norovirus infection,stomach cramps,muscle aches,loss of appetite,dehydration,chills,general discomfort,fever,,,,,
roseola,high fever,runny nose,rash,swollen lymph nodes,sore throat,headache,vomiting,abdominal pain,body aches,rashes,,
norovirus infection,diarrhea,vomiting,low-grade fever,nausea,headache,abdominal pain,loss of appetite,dehydration,sweating,body aches,irritability,
common cold,"stuffy, runny nose",sneezing,watering eyes,mild fatigue,,,,,,,,
pertussis (whooping cough),whooping cough,nasal discharge,"sore, watery eyes",severe coughing fits,vomiting after coughing,,,,,,,
roseola,high fever,runny nose,irritability,swollen lymph nodes,sore throat,headache,diarrhea,vomiting,loss of appetite,abdominal pain,rashes,feverish
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,bloody stools,stomach cramps,dehydration,general discomfort,chills,,,
norovirus infection,vomiting,low-grade fever,nausea,headache,loss of appetite,dehydration,chills,sweating,body aches,rashes,general discomfort,fever,irritability
"hand, foot, and mouth disease",fever,irritability,mouth sores,fatigue,cough,headache,general discomfort,mild fever,,,,
"hand, foot, and mouth disease",sores in mouth,rash on hands and feet,mouth sores,blisters,headache,general discomfort,difficulty swallowing,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,bloody stools,stomach cramps,loss of appetite,muscle aches,general discomfort,joint pain,,,
norovirus infection,diarrhea,nausea,fatigue,abdominal pain,loss of appetite,dehydration,chills,body aches,rashes,fever,irritability,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,headache,loss of appetite,dehydration,sweating,body aches,rashes,general discomfort
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,headache,loss of appetite,body aches,feverish,rashes,general discomfort,chills,joint pain
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,nausea,headache,fatigue,abdominal pain,loss of appetite,chills,body aches,general discomfort
shigellosis (bacillary dysentery),vomiting,stomach cramps,headache,loss of appetite,muscle aches,general discomfort,chills,,,,,
shigellosis (bacillary dysentery),fever,body aches,rashes,chills,joint pain,,,,,,,
"hand, foot, and mouth disease",rash on hands and feet,mouth sores,fatigue,cough,headache,mild fever,,,,,,
norovirus infection,low-grade fever,dehydration,chills,general discomfort,fever,,,,,,,
mumps,pain while chewing or swallowing,fever,tiredness,trouble chewing,testicle pain and tenderness,fever,headache,muscle aches,loss of appetite,,,
norovirus infection,low-grade fever,muscle aches,nausea,headache,fatigue,loss of appetite,dehydration,chills,general discomfort,,,
shigellosis (bacillary dysentery),fever,nausea,headache,fatigue,loss of appetite,rashes,chills,joint pain,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,bloody stools,headache,loss of appetite,feverish,rashes,chills,joint pain,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,bloody stools,stomach cramps,headache,loss of appetite,muscle aches,body aches,feverish,rashes,general discomfort,chills,joint pain
shigellosis (bacillary dysentery),fever,diarrhea,nausea,bloody stools,stomach cramps,headache,fatigue,dehydration,muscle aches,body aches,general discomfort,joint pain
roseola,rash,irritability,fatigue,swollen lymph nodes,sore throat,headache,red eyes,diarrhea,loss of appetite,abdominal pain,rashes,
"hand, foot, and mouth disease",fever,rash on hands and feet,mouth sores,blisters,fatigue,headache,general discomfort,mild fever,difficulty swallowing,,,
roseola,rash,fatigue,swollen lymph nodes,sore throat,loss of appetite,abdominal pain,body aches,chills,feverish,,,
norovirus infection,headache,fatigue,abdominal pain,dehydration,body aches,rashes,fever,,,,,
roseola,runny nose,fatigue,headache,cough,red eyes,diarrhea,vomiting,loss of appetite,body aches,rashes,chills,
norovirus infection,low-grade fever,loss of appetite,chills,rashes,general discomfort,fever,,,,,,
norovirus infection,vomiting,muscle aches,nausea,headache,abdominal pain,loss of appetite,dehydration,body aches,general discomfort,irritability,,
norovirus infection,diarrhea,vomiting,low-grade fever,nausea,fatigue,abdominal pain,body aches,fever,irritability,,,
shigellosis (bacillary dysentery),diarrhea,nausea,bloody stools,stomach cramps,fatigue,dehydration,loss of appetite,feverish,rashes,general discomfort,,
norovirus infection,stomach cramps,muscle aches,headache,fatigue,dehydration,rashes,general discomfort,,,,,
norovirus infection,stomach cramps,fatigue,abdominal pain,sweating,rashes,general discomfort,irritability,,,,,
shigellosis (bacillary dysentery),diarrhea,vomiting,stomach cramps,fatigue,dehydration,loss of appetite,feverish,chills,joint pain,,,
norovirus infection,diarrhea,vomiting,stomach cramps,fatigue,loss of appetite,sweating,body aches,rashes,general discomfort,irritability,,
roseola,high fever,runny nose,rash,sore throat,headache,cough,red eyes,loss of appetite,body aches,rashes,chills,feverish
norovirus infection,diarrhea,vomiting,low-grade fever,headache,fatigue,abdominal pain,loss of appetite,chills,rashes,general discomfort,irritability,
shigellosis (bacillary dysentery),stomach cramps,dehydration,loss of appetite,muscle aches,feverish,rashes,general discomfort,chills,,,,
"hand, foot, and mouth disease",fever,sores in mouth,rash on hands and feet,sore throat,blisters,fatigue,cough,sore muscles,general discomfort,,,
roseola,rash,irritability,fatigue,sore throat,cough,red eyes,loss of appetite,body aches,chills,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,bloody stools,headache,fatigue,dehydration,loss of appetite,muscle aches,body aches,rashes,joint pain,,
roseola,high fever,runny nose,irritability,swollen lymph nodes,sore throat,headache,cough,vomiting,loss of appetite,body aches,rashes,
shigellosis (bacillary dysentery),diarrhea,nausea,stomach cramps,fatigue,dehydration,muscle aches,feverish,rashes,chills,joint pain,,
roseola,irritability,swollen lymph nodes,headache,cough,red eyes,vomiting,body aches,chills,,,,
norovirus infection,vomiting,stomach cramps,muscle aches,headache,abdominal pain,loss of appetite,body aches,general discomfort,,,,
"hand, foot, and mouth disease",fever,sores in mouth,irritability,sore throat,blisters,headache,mild fever,,,,,
roseola,high fever,cough,diarrhea,vomiting,loss of appetite,body aches,chills,,,,,
norovirus infection,vomiting,headache,dehydration,sweating,body aches,rashes,,,,,,
shigellosis (bacillary dysentery),nausea,stomach cramps,fatigue,dehydration,body aches,feverish,general discomfort,chills,joint pain,,,
norovirus infection,vomiting,fatigue,general discomfort,fever,irritability,,,,,,,
roseola,high fever,irritability,headache,red eyes,diarrhea,vomiting,loss of appetite,chills,,,,
norovirus infection,diarrhea,stomach cramps,nausea,headache,fatigue,abdominal pain,dehydration,chills,sweating,rashes,general discomfort,fever
shigellosis (bacillary dysentery),vomiting,bloody stools,body aches,feverish,general discomfort,,,,,,,
norovirus infection,diarrhea,vomiting,low-grade fever,nausea,abdominal pain,dehydration,sweating,body aches,rashes,general discomfort,,
roseola,high fever,rash,irritability,fatigue,swollen lymph nodes,cough,red eyes,diarrhea,vomiting,rashes,,
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,headache,fatigue,general discomfort,irritability,,,,
"hand, foot, and mouth disease",rash on hands and feet,irritability,sore throat,red spots,fatigue,cough,sore muscles,headache,mild fever,,,
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,loss of appetite,muscle aches,body aches,feverish,general discomfort,chills,joint pain,,
norovirus infection,diarrhea,muscle aches,dehydration,chills,body aches,general discomfort,fever,irritability,,,,
shigellosis (bacillary dysentery),nausea,vomiting,fatigue,loss of appetite,general discomfort,,,,,,,
"hand, foot, and mouth disease",rash on hands and feet,mouth sores,red spots,fatigue,mild fever,,,,,,,
roseola,fatigue,swollen lymph nodes,sore throat,vomiting,loss of appetite,abdominal pain,body aches,chills,feverish,,,
norovirus infection,diarrhea,vomiting,nausea,abdominal pain,loss of appetite,dehydration,chills,body aches,general discomfort,fever,,
roseola,high fever,runny nose,rash,swollen lymph nodes,sore throat,loss of appetite,abdominal pain,body aches,chills,,,
shigellosis (bacillary dysentery),fever,diarrhea,bloody stools,headache,feverish,chills,joint pain,,,,,
norovirus infection,stomach cramps,low-grade fever,nausea,abdominal pain,fever,irritability,,,,,,
shigellosis (bacillary dysentery),diarrhea,nausea,vomiting,bloody stools,stomach cramps,fatigue,muscle aches,body aches,feverish,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,bloody stools,stomach cramps,headache,fatigue,dehydration,loss of appetite,muscle aches,rashes,general discomfort,chills,joint pain
roseola,runny nose,irritability,headache,cough,body aches,rashes,feverish,,,,,
roseola,runny nose,rash,irritability,fatigue,swollen lymph nodes,sore throat,headache,diarrhea,vomiting,loss of appetite,rashes,feverish
norovirus infection,diarrhea,vomiting,muscle aches,nausea,fatigue,loss of appetite,sweating,rashes,general discomfort,fever,,
"hand, foot, and mouth disease",rash on hands and feet,loss of appetite,irritability,sore throat,red spots,blisters,fatigue,sore muscles,headache,mild fever,,
norovirus infection,diarrhea,low-grade fever,headache,chills,body aches,rashes,irritability,,,,,
roseola,high fever,runny nose,fatigue,headache,red eyes,diarrhea,vomiting,loss of appetite,body aches,rashes,feverish,
norovirus infection,vomiting,stomach cramps,muscle aches,headache,fatigue,loss of appetite,chills,body aches,rashes,fever,irritability,
roseola,high fever,irritability,swollen lymph nodes,headache,cough,red eyes,loss of appetite,abdominal pain,feverish,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,stomach cramps,loss of appetite,feverish,rashes,general discomfort,chills,joint pain,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,bloody stools,stomach cramps,headache,fatigue,general discomfort,joint pain,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,stomach cramps,feverish,rashes,general discomfort,chills,,,,
shigellosis (bacillary dysentery),vomiting,bloody stools,stomach cramps,fatigue,dehydration,muscle aches,body aches,chills,joint pain,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,vomiting,bloody stools,stomach cramps,fatigue,loss of appetite,body aches,feverish,general discomfort,joint pain
roseola,high fever,rash,irritability,swollen lymph nodes,headache,cough,diarrhea,vomiting,abdominal pain,body aches,chills,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,bloody stools,fatigue,dehydration,muscle aches,body aches,joint pain,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,abdominal pain,sweating,general discomfort,fever,irritability,,,,
"hand, foot, and mouth disease",fever,loss of appetite,irritability,mouth sores,fatigue,sore muscles,general discomfort,mild fever,,,,
norovirus infection,diarrhea,low-grade fever,headache,abdominal pain,dehydration,chills,sweating,body aches,rashes,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,bloody stools,headache,fatigue,dehydration,loss of appetite,body aches,general discomfort,joint pain
"hand, foot, and mouth disease",rash on hands and feet,loss of appetite,sore throat,blisters,sore muscles,headache,mild fever,difficulty swallowing,,,,
pertussis (whooping cough),whooping cough,sneezing,"sore, watery eyes","cyanosis (blue lips, tongue, nailbeds)",exhaustion,low-grade fever,runny nose,fatigue,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,stomach cramps,dehydration,rashes,chills,joint pain,,,,
norovirus infection,vomiting,low-grade fever,muscle aches,nausea,headache,fatigue,abdominal pain,loss of appetite,chills,general discomfort,fever,
roseola,high fever,runny nose,irritability,fatigue,swollen lymph nodes,headache,red eyes,diarrhea,loss of appetite,abdominal pain,,
roseola,runny nose,fatigue,sore throat,cough,vomiting,loss of appetite,chills,,,,,
shigellosis (bacillary dysentery),nausea,vomiting,stomach cramps,fatigue,loss of appetite,body aches,rashes,general discomfort,,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,loss of appetite,chills,general discomfort,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,headache,rashes,general discomfort,fever,,,,,
"hand, foot, and mouth disease",fever,rash on hands and feet,loss of appetite,sore throat,mouth sores,blisters,sore muscles,mild fever,difficulty swallowing,,,
shigellosis (bacillary dysentery),fever,diarrhea,bloody stools,headache,fatigue,loss of appetite,muscle aches,body aches,feverish,rashes,general discomfort,chills
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,stomach cramps,dehydration,loss of appetite,muscle aches,body aches,feverish,chills,joint pain,
roseola,high fever,rash,fatigue,sore throat,headache,cough,red eyes,vomiting,loss of appetite,abdominal pain,rashes,chills,feverish
norovirus infection,diarrhea,stomach cramps,low-grade fever,headache,chills,body aches,fever,irritability,,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,nausea,headache,fatigue,abdominal pain,loss of appetite,body aches,general discomfort,fever,irritability
norovirus infection,vomiting,low-grade fever,muscle aches,headache,fatigue,abdominal pain,loss of appetite,chills,sweating,,,
roseola,rash,irritability,sore throat,red eyes,diarrhea,vomiting,loss of appetite,rashes,,,,
roseola,runny nose,rash,fatigue,swollen lymph nodes,sore throat,cough,diarrhea,vomiting,body aches,,,
roseola,irritability,fatigue,swollen lymph nodes,sore throat,headache,vomiting,loss of appetite,abdominal pain,rashes,chills,,
norovirus infection,diarrhea,muscle aches,nausea,fatigue,loss of appetite,dehydration,body aches,general discomfort,fever,,,
roseola,runny nose,irritability,fatigue,headache,diarrhea,loss of appetite,abdominal pain,chills,,,,
roseola,runny nose,rash,red eyes,diarrhea,loss of appetite,abdominal pain,body aches,rashes,,,,
roseola,high fever,runny nose,sore throat,cough,diarrhea,abdominal pain,rashes,feverish,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,bloody stools,stomach cramps,fatigue,dehydration,muscle aches,body aches,feverish,general discomfort,joint pain
norovirus infection,diarrhea,vomiting,stomach cramps,nausea,headache,abdominal pain,loss of appetite,chills,rashes,irritability,,
shigellosis (bacillary dysentery),fever,nausea,vomiting,bloody stools,stomach cramps,headache,fatigue,loss of appetite,muscle aches,feverish,general discomfort,joint pain
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,fatigue,dehydration,loss of appetite,muscle aches,body aches,rashes,chills,
shigellosis (bacillary dysentery),abdominal pain or cramps,headache,loss of appetite,body aches,general discomfort,chills,,,,,,
roseola,runny nose,rash,abdominal pain,rashes,chills,feverish,,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,vomiting,bloody stools,headache,loss of appetite,muscle aches,feverish,chills,joint pain,
norovirus infection,diarrhea,vomiting,low-grade fever,fatigue,abdominal pain,dehydration,chills,sweating,body aches,rashes,irritability,
norovirus infection,low-grade fever,muscle aches,nausea,fatigue,chills,rashes,general discomfort,,,,,
roseola,runny nose,headache,cough,red eyes,diarrhea,loss of appetite,feverish,,,,,
"hand, foot, and mouth disease",fever,rash on hands and feet,loss of appetite,irritability,sore throat,mouth sores,red spots,fatigue,sore muscles,headache,general discomfort,mild fever
roseola,rash,irritability,swollen lymph nodes,cough,body aches,feverish,,,,,,
